question_id,question_text,source_id,current_page_range_start,current_page_range_end,current_keyword,suggested_keyword,note
Q001,如何创建一个属于特定域的 DomainParticipant？请说明所需参数及其作用。,user_manual,7,288,'6.3.6 选择Domain ID和创建多个域',,
Q002,DomainParticipantFactory 的 create_participant()函数中，domainId 参数的取值范围是多少？为什么需要限定这个范围？,user_manual,7,288,'6.2.4 搜索DomainParticipant',,
Q003,在创建 DomainParticipant 时，如果希望其 Listener 不响应任何事件，mask 参数应如何设置？,user_manual,7,288,'5.3.5 Listener的继承机制',,
Q004,调用 DomainParticipant 的 enable()函数前，实体处于什么状态？使能后会发生什么变化？,user_manual,7,288,'6.3.12 其他DomainParticipant操作',,
Q005,DomainParticipant 的 get_instance_handle()返回的是什么类型的对象？该对象的作用是什么？,user_manual,7,288,'6.3.12 其他DomainParticipant操作',,
Q006,如何在创建 DataWriter 时传入自定义的 QoS 策略？请写出函数原型。,user_manual,8,272,'5.1.4.3 在创建实体时设置QoS策略',,
Q007,DataReader 的 read()和 take()函数有什么区别？分别适用于什么场景？,user_manual,8,275,'9.3.10.2 read()和take()的区别',,
Q008,调用 DataReader 的 read_w_condition()函数时，需要传入什么参数？该参数的作用是什么？,user_manual,8,275,'9.3.10.1 使用read()和take()访问数据',,
Q009,如何通过 GuardCondition 的手动触发机制唤醒 WaitSet？请说明具体步骤。,user_manual,38,235,'5.5.6 GuardConditions',,
Q010,DomainParticipant 的 delete_participant()函数在什么情况下会失败？请说明返回的错误码。,user_manual,7,288,'6.3.3 删除所有子实体',,
Q011,使用 delete_contained_entities()删除 DomainParticipant 的子实体时，如果中途某个实体删除失败会怎样？,user_manual,7,288,'6.3.3 删除所有子实体',,
Q012,DataReader 的 create_readcondition()函数中，SampleStateMask 的作用是什么？常见的取值有哪些？,user_manual,8,275,'9.3.11.1 样本状态(Sample States)',,
Q013,如何获取 DomainParticipant 的 StatusCondition？为什么要使用 StatusCondition 而不是直接调用 Listener？,user_manual,7,288,'9.3.5 关于DataReader的Status',,
Q014,WaitSet 的 wait()函数在超时情况下会返回什么？此时关联的条件列表状态如何？,user_manual,38,235,'5.5.2 WaitSet的相关操作',,
Q015,当 Publisher 调用 wait_for_acknowledgments()函数时，什么情况下会返回 DDS_RETCODE_TIMEOUT？,user_manual,3,272,'12.3.3 writer()阻塞时间',,
Q016,如何在创建 DataReader 时配置 Listener 的 mask 参数？mask 中每位对应的状态有哪些？,user_manual,8,275,'5.3 Listener',,
Q017,Topic 的 on_inconsistent_topic()回调函数在什么情况下会被触发？触发时该 Topic 处于什么状态？,user_manual,7,289,'7.2.5 设置Topic的Listener',,
Q018,DataReaderListener 的 on_data_available()回调函数的作用是什么？该函数能否调用 create_datawriter()？为什么？,user_manual,25,272,'9.2.6 关于Subscriber的Status',,
Q019,DataWriter 的 on_liveliness_lost()回调函数在什么情况下会被触发？触发后 DataWriter 处于什么状态？,user_manual,8,272,'10.12 LivelinessQosPolicy',,
Q020,Subscriber 的 on_data_on_readers()回调函数被触发时，表示什么事件发生？该状态如何查询？,user_manual,3,275,'9.2.6 关于Subscriber的Status',,
Q021,DataReader 的 on_subscription_matched()回调函数的作用是什么？该回调属于哪个 Listener？返回的 Status 包含哪些字段？,user_manual,4,275,'5',,
Q022,如何使用 get_status_changes()函数获取自从上次查询后的状态变化？该函数的返回值类型是什么？,user_manual,38,225,'8.3.6 获取DataWriter的Status',,
Q023,DataReader 的 on_liveliness_changed()回调函数在什么情况下被触发？返回的 Status 包含哪些字段？,user_manual,4,275,'5',,
Q024,DataReader 的 on_requested_deadline_missed()回调函数在什么情况下被触发？触发时该 DataReader 处于什么状态？,user_manual,8,275,'9.3.5.3 REQUESTED_DEADLINE_MISSED Status',,
Q025,DataReader 的 on_requested_incompatible_qos()回调函数在什么情况下被触发？该 QoS 配置不兼容的原因是什么？,user_manual,8,275,'9.3.5.4 REQUESTED_INCOMPATIBLE_QOS Status',,
Q026,DataReader 的 on_sample_lost()回调函数在什么情况下被触发？触发时 SampleStateMask 应如何设置？,user_manual,8,275,'9.3.5.5 SAMPLE_LOST Status',,
Q027,DataReader 的 on_sample_rejected()回调函数在什么情况下被触发？该状态与 SAMPLE_LOST 的区别是什么？,user_manual,8,275,'9.3.5.5 SAMPLE_LOST Status',,
Q028,DataWriter 的 on_publication_matched()回调函数的作用是什么？该回调属于哪个 Listener？返回的 Status 包含哪些字段？,user_manual,4,275,'5',,
Q029,DataWriter 的 on_offered_deadline_missed()回调函数在什么情况下被触发？触发时该 DataWriter 处于什么状态？,user_manual,8,272,'9.3.5.7 SUBSCRIPTION_MATCHED Status',,
Q030,DataWriter 的 on_offered_incompatible_qos()回调函数在什么情况下被触发？可能的原因有哪些？,user_manual,8,272,'9.3.5.4 REQUESTED_INCOMPATIBLE_QOS Status',,
